Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25084096_1	36.60677734843747	50.0	209.92849975983856	251	9.090909090909092	2106916.0
SRR25084096_2	34.20642843826067	50.0	194.92666247728909	222	18.181818181818183	2106916.0
SRR25084097_1	28.214796930086777	50.0	212.965325359634	251	9.090909090909092	1296596.0
SRR25084097_2	25.94940757848427	50.0	196.1751871824377	222	18.181818181818183	1296596.0
SRR25084098_1	22.375099116854386	50.0	226.97173982870635	251	9.090909090909092	853038.0
SRR25084098_2	20.081815498891757	50.0	206.22324093416705	227	18.181818181818183	853038.0
SRR25084099_1	21.52415025412263	50.0	216.9267312941522	251	0.0	871559.0
SRR25084099_2	19.225617936634933	50.0	196.66790085352798	222	18.181818181818183	871559.0
SRR25084100_1	20.247734515725398	50.0	206.1486425011127	251	9.090909090909092	813334.0
SRR25084100_2	18.801140542571716	50.0	191.5781351818564	217	18.181818181818183	813334.0
SRR25084101_1	36.0891530075365	50.0	219.4885160079032	251	9.090909090909092	1943009.0
SRR25084101_2	33.38533792853589	50.0	202.66074835474257	227	18.181818181818183	1943009.0
SRR25084102_1	24.08572710218337	50.0	208.22185290320581	251	9.090909090909092	1032531.0
SRR25084102_2	22.280779901677917	50.0	192.6598271625743	217	18.181818181818183	1032531.0
SRR25084103_1	25.39775686427501	50.0	205.46986162855194	251	0.0	1222362.0
SRR25084103_2	22.914836587337902	50.0	186.50658479239374	212	18.181818181818183	1222362.0
