Module	Section	Sample Name	Source
FastQC	all_sections	SRR25084098_1	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084098_1_fastqc.zip
FastQC	all_sections	SRR25084103_1	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084103_1_fastqc.zip
FastQC	all_sections	SRR25084097_2	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084097_2_fastqc.zip
FastQC	all_sections	SRR25084102_1	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084102_1_fastqc.zip
FastQC	all_sections	SRR25084096_2	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084096_2_fastqc.zip
FastQC	all_sections	SRR25084098_2	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084098_2_fastqc.zip
FastQC	all_sections	SRR25084100_2	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084100_2_fastqc.zip
FastQC	all_sections	SRR25084101_1	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084101_1_fastqc.zip
FastQC	all_sections	SRR25084100_1	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084100_1_fastqc.zip
FastQC	all_sections	SRR25084101_2	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084101_2_fastqc.zip
FastQC	all_sections	SRR25084099_2	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084099_2_fastqc.zip
FastQC	all_sections	SRR25084099_1	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084099_1_fastqc.zip
FastQC	all_sections	SRR25084096_1	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084096_1_fastqc.zip
FastQC	all_sections	SRR25084103_2	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084103_2_fastqc.zip
FastQC	all_sections	SRR25084097_1	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084097_1_fastqc.zip
FastQC	all_sections	SRR25084102_2	/home/FCAM/mzingarella/isg5312/gitrepos/VariantCalling-DenovoAssembly-StudyReplication/results/02_qc_trimming/raw_fastqc/SRR25084102_2_fastqc.zip
